,Date,sample,piece,field,Host,analysis,Length,Width,Phases,VL (%),VV (%),VS (%),Tm CO2,Te,Tm Hh,Tm H2O,Tm CL,Th CO2,Tm Xts,Th total,Hmg Mode,Type
23,11/02/2019,BU18FA22,B,FF1b,quartz,1,20.2,10.3,L - V,72,28,,,-72,,-16.5,-3.7,,,,,
24,11/02/2019,BU18FA22,B,FF1b,quartz,2,33.5,13.3,L - V,70,30,,,-73,,-20.6,-1.7,,,,,
25,11/02/2019,BU18FA22,B,FF1b,quartz,3,9.1,7.6,L - V,77,23,,,-63.2,,-19.6,-2.5,,,,,
26,11/02/2019,BU18FA22,B,FF1b,quartz,4,11.6,7.6,L - V,92,8,,,-61.6,-26.3,,-3.5,,,,,
27,11/02/2019,BU18FA22,B,FF1b,quartz,5,9.6,6.2,L - V,80,20,,,-58.2,,-20.5,-1.3,,,,,
28,11/02/2019,BU18FA22,B,FF2,scorzalite,1,14,11.6,L - V,77,23,,,-68,-24.1,-18.7,,,,,,
29,11/02/2019,BU18FA22,B,FF2,scorzalite,2,12.5,7.7,L - V,70,30,,-57,-62,,-21,-2,,,,,
30,11/02/2019,BU18FA22,B,FF2,scorzalite,3,11.4,7.1,L - V,79,21,,,-64.8,,-21.8,-0.3,,,,,
31,11/02/2019,BU18FA22,B,FF2,scorzalite,4,9,8,L - V,75,25,,,-68.1,,-21,-3.3,,,,,
32,20/02/2019,BU18FA22,B,FF2,scorzalite,5,17.2,10.5,L - V,72,28,,,-73.6,-26.2,-15.5,1.6,,,,,
33,20/02/2019,BU18FA22,B,FF2,scorzalite,6,14.2,10.8,L - V,74,26,,-58,-74.2,-28.7,-14.6,0.6,,,,,
34,20/03/2019,BU18FA20,C,FF1,bertossaite,1,89.7,26.5,L - L - V,78,22,,-58.7,-76.5,-24.8,-12.6,-2,27.2,,,CO2 = cri,
35,20/03/2019,BU18FA20,C,FF1,bertossaite,2,26.5,19,L - L - V,76,24,,-61.1,-74.8,-26.1,-13.1,-2.2,27.3,,,CO2 = cri,
36,20/03/2019,BU18FA20,C,FF1,bertossaite,3,15,7.5,L - L - V,77,23,,-58.8,-74.7,-26.4,-12.1,-2,27.4,,,CO2 = cri,
37,20/03/2019,BU18FA20,C,FF1,bertossaite,4,13.9,10.5,L - L - V,74,26,,-58.8,-74.3,-25.3,-13.3,-2.4,27.5,,,CO2 = cri,
38,20/03/2019,BU18FA20,B,FF2,bertossaite,1,17.7,13.5,L - V,79,21,,,-70,-19.7,-10.9,3.8,,,,,
39,20/03/2019,BU18FA20,B,FF2,bertossaite,2,12.2,10.1,L - V,78,22,,,-70,-23.1,-10.7,3.5,,,,,
40,20/03/2019,BU18FA20,B,FF2,bertossaite,3,71.6,46.6,L - V,80,20,,,-65,-19.5,-10.3,4.8,,,,,
41,20/03/2019,BU18FA20,B,FF2,bertossaite,4,33.3,34.4,V - L,40,60,,-57.8,-70,,-2.8,7.8,20.3,,,CO2 = L,
42,20/03/2019,BU18FA22,C,FF1,bertossaite,1,20.6,7,L - V,79,21,,,-72,-27.4,-22.9,-0.4,,,,,
43,20/03/2019,BU18FA22,C,FF1,bertossaite,2,9.3,6,L - V,75,25,,,-65,-26.3,-22.8,-0.3,,,,,
44,20/03/2019,BU18FA22,C,FF1,bertossaite,3,10.2,5.9,L - V,70,30,,,-65,,-23.7,,,,,,
45,20/03/2019,BU18FA22,C,FF1,bertossaite,4,21.9,4.8,L - V,75,25,,,-68,-25.3,-22.1,0.3,,,,,
46,24/04/2019,BU18FA20,E,FF1,trolleite,1,24.6,25.3,V - L,45,55,,-58.9,-74.3,-25.6,-15.2,5.2,23.8,,,CO2 = L,
47,24/04/2019,BU18FA20,E,FF1,trolleite,2,16.1,10.6,V - L,43,57,,-58.8,,-25.4,-14.7,5.8,23,,,CO2 = L,
48,24/04/2019,BU18FA20,E,FF1,trolleite,3,12.4,5.1,L - V - S,77,20,3,-58.7,-74.2,-22,-14.5,-3.4,19.1,,,CO2 = V (c) ,
49,24/04/2019,BU18FA20,E,FF1,trolleite,4,19.5,9.2,L - V,79,21,,,-73.8,-21.8,-14.4,2.2,,,,,
50,26/04/2019,BU18FA20,A,FF2,trolleite,1,43.9,22.9,L - V,65,35,,,-72.1,-26.4,-18.2,0.9,,,,,
51,26/04/2019,BU18FA20,A,FF2,trolleite,2,25.8,11.2,L - V,69,31,,,-73.4,-24.5,-12.3,3.9,,,,,
52,26/04/2019,BU18FA20,A,FF2,trolleite,3,14.5,10.9,L - V,69,31,,,,-22.9,-14.7,4.2,,,,,
53,29/04/2019,BU18FA20,F,FF1,bertossaite,1,23,20.5,L - V,84,16,,,-75.4,-24.9,-10.9,4.7,,,,,
54,29/04/2019,BU18FA20,F,FF1,bertossaite,2,28.9,20.4,L - V,86,14,,,-72.5,-24.2,-8.7,5.6,,,,,
55,29/04/2019,BU18FA20,F,FF1,bertossaite,3,22,15.1,L - V,80,20,,,,-23.8,-10.5,4.4,,,,,
56,29/04/2019,BU18FA20,F,FF2,trolleite,1,19.9,6.5,L - V,67,33,,,-72,-22,-9.8,0.5,,,,,
57,18/06/2019,BU18FA32,A,FF1,brazilianite,1,115.5,41.5,L - V - S,82,17,1,,-73,-27,-11.5,4.8,,,,,
58,18/06/2019,BU18FA32,A,FF1,brazilianite,2,117.8,33.8,L - L - V,43,57,,-63.2,-71,-22.3,-13,5.2,25.5,,,CO2 = L,
59,18/06/2019,BU18FA32,A,FF1,brazilianite,3,105.5,49.7,L - L - V,73,27,,-62.7,-72,-24.2,-10.8,-1.6,29.6,,,CO2 = L,
60,18/06/2019,BU18FA32,A,FF1,brazilianite,4,29.2,14.3,L - L - V,72,28,,-62.6,-75,-25.2,-11,-3.5,29.6,,,CO2 = L,
61,18/06/2019,BU18FA32,A,FF1,brazilianite,5,20.7,18.5,L - V,76,24,,,-74,-26,-12.4,3.9,,,,,
62,18/06/2019,BU18FA32,A,FF1,brazilianite,6,29.9,19.9,L - V,77,23,,,-71,-27,-12.4,3.9,,,,,
63,18/06/2019,BU18FA32,A,FF1,brazilianite,7,17.5,16.2,L - V,77,23,,,-65,-26.3,-11.9,4.1,,,,,
64,18/06/2019,BU18FA32,A,FF1,brazilianite,8,8.7,7.9,L - V,77,23,,,-73,-26.2,-11.5,,,,,,
65,18/06/2019,BU18FA32,A,FF1,brazilianite,9,25.3,11.8,L - V,76,24,,,-72,-24.1,-11.6,4,,,,,
66,18/06/2019,BU18FA32,A,FF1,brazilianite,10,22.5,14.4,L - V,73,27,,,-71,-25.2,-11.9,4.4,,,,,
67,18/06/2019,BU18FA32,C,FF1,brazilianite,1,44.5,24.3,L - V,78,22,,,-71,-24.2,-12.6,4.7,,,,,
68,18/06/2019,BU18FA32,C,FF1,brazilianite,2,25.9,25.9,L - V,77,23,,,-74,-24.2,-11.5,3.8,,,,,
69,18/06/2019,BU18FA32,C,FF1,brazilianite,3,18.5,11.9,L - L - V,64,36,,-61.5,-70,-29.1,-14.4,1.1,27.1,,,CO2 = L,
70,18/06/2019,BU18FA32,C,FF1,brazilianite,4,21.4,15.2,L - L - V,66,34,,-61.6,-72,-28.5,-14.9,0.9,27.1,,,CO2 = L,
71,18/06/2019,BU18FA32,C,FF1,brazilianite,5,22,9.3,L - L - V,67,33,,-62.2,-70,-28.5,-12.4,1.4,27.2,,,CO2 = L,
72,18/06/2019,BU18FA32,C,FF1,brazilianite,6,13.5,9.5,L - V,78,22,,,-72,-26.8,-11.7,3.8,,,,,
73,18/06/2019,BU18FA32,C,FF1,brazilianite,7,22.1,9.8,L - V,78,22,,,-70,-25.6,-12.4,4.1,,,,,
74,18/06/2019,BU18FA32,C,FF1,brazilianite,8,20.8,10.5,L - V,74,26,,,-73,-26.4,-10.7,3.9,,,,,
75,18/06/2019,BU18FA32,C,FF1,brazilianite,9,26.8,15.2,L - V,77,23,,,-60,-26.1,-12.8,-0.8,,,,,
76,18/06/2019,BU18FA32,C,FF1,brazilianite,10,32.9,19.6,L - V,79,21,,,-65,-25.8,-11.1,4.7,,,,,
77,18/07/2019,BU18FA20,E,FF1,trolleite,5,22.8,16.8,S - L - V,46,22,32,,-73,-20.8,-16.2,2.6,,,,,
78,18/07/2019,BU18FA20,E,FF1,trolleite,6,9.3,5.2,L - V - S,80,18,2,-57.2,-73,-24.2,-12.6,-2.4,27.6,,,CO2 = V (c),
79,18/07/2019,BU18FA20,E,FF1,trolleite,7,13.1,11.5,L - V,78,22,,,-74,-22,-13.5,-1.8,,,,,
80,18/07/2019,BU18FA20,G,FF1,trolleite,1,33.3,32.9,S - L - V,24,7,69,-58.4,,,,,25.1,,,CO2 = L,
81,18/07/2019,BU18FA20,G,FF1,trolleite,2,21.1,13.2,L - V - S,76,20,4,,-73,-24.9,-15.3,-2.8,,,,,
82,18/07/2019,BU18FA20,G,FF1,trolleite,3,20.4,12,S - L - V,57,10,33,-57.2,,,,,25.1,,,CO2 = L,
83,18/07/2019,BU18FA20,G,FF1,trolleite,4,17,9.5,V - L,52,48,,-57,-71,-24,-13.5,2.5,14.2,,,CO2 = V,
