,Date,sample,piece,field,Host,analysis,Length,Width,Phases,VL (%),VV (%),VS (%),Tm CO2,Te,Tm Hh,Tm H2O,Tm CL,Th CO2,Tm Xts,Th total,Hmg Mode,Type
193,28/10/2021,BU18FA02a,A,FF1,brazilianite,1,16.6,9,L - V - S,74,24,2,-57.4,,-23.7,-16.9,2.5,,,,,
194,28/10/2021,BU18FA02a,A,FF1,brazilianite,2,18.8,10.8,L - V,70,30,,-57.5,,-22.3,-16.9,2.3,12.5,,,CO2=V,
195,28/10/2021,BU18FA02a,A,FF1,brazilianite,3,8.6,7.8,L - V,80,20,,,,-22.6,-16.7,2.4,,,,,
196,28/10/2021,BU18FA02a,A,FF1,brazilianite,4,13.3,9.1,L - V - S,76,22,2,-57.5,,-23.5,-17.6,2.3,,,,CO2=V,
197,28/10/2021,BU18FA02a,A,FF1,brazilianite,5,12.9,7.9,L - V,70,30,,,,-22.2,-16.9,2.1,,,,,
198,18/11/2021,BU18FA04,A,FF3,bertossaite,1,15,12.8,L - V,70,30,,,,-21.7,-12.2,3.7,,,,,
199,18/11/2021,BU18FA04,A,FF3,bertossaite,2,18.2,14.8,L - V,80,20,,,,-21.8,-11.5,3.6,,,,,
200,18/11/2021,BU18FA04,A,FF3,bertossaite,3,27.8,21.3,L - V,75,25,,,,-21,-11.5,3.8,,,,,
201,18/11/2021,BU18FA04,A,FF3,bertossaite,4,43.3,26.2,L - L - V,85,15,,-57.4,,-24.4,-10.8,-6.9,20.5,,,CO2=V,
202,18/11/2021,BU18FA04,A,FF3,bertossaite,5,10.2,9.8,L - V,75,25,,,,-22.4,-11.2,3.7,,,,,
203,18/11/2021,BU18FA04,A,FF3,bertossaite,6,11.2,7.6,L - V,80,20,,,,-20.9,-11.6,3.6,17.5,,,CO2=V,
204,18/11/2021,BU18FA04,A,FF3,bertossaite,7,27.9,6.3,L - V,87,13,,-57.5,,-20.6,-12.5,3.1,,,,,
205,18/11/2021,BU18FA04,A,FF3,bertossaite,8,21.8,13.3,L - V,75,25,,,,-21.9,-11,3.9,,,,,
206,18/11/2021,BU18FA04,A,FF3,bertossaite,9,14.5,7,L - V,80,20,,,,-20.5,-14.6,3.1,,,,,
207,18/11/2021,BU18FA19(2),A,FF1b,augelite,1,23.9,10.9,L - L - V,75,25,,,,-23.1,-17.4,1.2,,,,,
208,18/11/2021,BU18FA19(2),A,FF1,augelite,1,22.5,14.7,L - V - S,69,25,6,-57.2,,-23.2,-14.2,1.3,24.3,,,CO2=V,
209,18/11/2021,BU18FA19(2),A,FF1,augelite,2,13.5,7.5,L - V,83,17,,-57.6,,-23.1,-13.7,2.3,21.6,,,CO2=V,
210,18/11/2021,BU18FA19(2),A,FF1,augelite,3,16.3,8.7,L - V,89,11,,-57.7,,-22.8,-16,1.2,25.6,,,CO2=V,
211,18/11/2021,BU18FA19(2),A,FF1,augelite,4,14.9,7.1,L - V,87,13,,,,-23.4,-16,0.6,,,,,
212,18/11/2021,BU18FA19(2),A,FF1,augelite,5,10.2,10,L - V,90,10,,,,-23.5,-18.4,0.9,,,,CO2=V,
213,18/11/2021,BU18FA19(2),A,FF1,augelite,6,17.5,7.2,L - V,87,13,,,,-22.9,-14.4,0.6,,,,,
214,18/11/2021,BU18FA19(2),A,FF1,augelite,7,11.3,10.2,L - V,80,20,,-57.2,,-23.6,-12,0.7,,,,CO2=V,
215,18/11/2021,BU18FA19(2),A,FF1,augelite,8,14.6,10.5,L - V,75,25,,-57.2,,-22.9,-11.8,0.8,,,,CO2=V,
216,18/11/2021,BU18FA19(2),A,FF1,augelite,9,12.4,12.4,V - L,40,60,,-57.6,,,-11.6,2,14,,,CO2=V,
217,18/11/2021,BU18FA19(2),A,FF2,augelite,1,16,9.9,L - V,75,25,,-58.9,,-25.3,-17.1,0.6,24.3,,,CO2=V,
218,18/11/2021,BU18FA19(2),A,FF2,augelite,2,14.4,4.8,L - V,78,22,,-58.1,,-24.9,-17.5,1.1,23.8,,,CO2=V,
219,18/11/2021,BU18FA19(2),A,FF2,augelite,3,14.3,7.5,L - V,85,15,,-57.6,,-24.2,-16.8,-0.4,,,,,
220,18/11/2021,BU18FA19(2),A,FF2,augelite,4,10.8,8.7,L - V,95,5,,,,,,,,,,,
221,18/11/2021,BU18FA19(2),A,FF2,augelite,5,9.8,8.7,L - V,73,27,,,,-22.8,-14.2,1,,,,,
222,18/11/2021,BU18FA19(2),A,FF2b,augelite,1,11.8,8.3,L - V,75,25,,-57.8,,-23.1,-15.6,0.6,,,,CO2=V,
223,18/11/2021,BU18FA19(2),A,FF2b,augelite,2,8,6.3,L - V,80,20,,-57.2,,-24,-17.8,0.8,,,,,
224,18/11/2021,BU18FA19(2),A,FF2b,augelite,3,10.8,8.4,L - L - V,75,25,,-58.5,,-23.3,-12.9,-0.6,25.7,,,CO2=V,
225,18/11/2021,BU18FA19(2),A,FF2b,augelite,4,13.4,9.1,L - V,80,20,,-59.2,,-24.4,-16.2,0.5,20.6,,,CO2=V,
226,18/11/2021,BU18FA19(2),A,FF2b,augelite,5,55.8,4.7,L - L - V,93,7,,,,-18.6,-17.2,0.9,24.9,,,CO2=L,
227,18/11/2021,BU18FA32,AII,incC,wyllieite,1,39.6,29.3,L - V - S,79,20,1,,,-20.8,-13.1,1.6,,,,,
228,18/11/2021,BU18FA32,AII,incC,wyllieite,2,18.8,5.6,L - V - S,78,20,2,,,-21.3,-11.3,1.5,,,,,
229,18/11/2021,BU18FA32,AII,incC,wyllieite,3,13.1,10,L - V - S,77,20,3,,,-21.7,-11.3,1.4,,,,,
230,18/11/2021,BU18FA32,AII,incC,wyllieite,4,8.4,6,L - V - S,76,20,4,,,-22.3,-11.8,1.5,,,,,
231,18/11/2021,BU18FA32,AII,incC,wyllieite,5,22.2,8.7,L - V - S,78,20,2,,,-23.4,-11.1,1.7,,,,,
232,2/02/2022,BU18FA19,A,FF7b,trolleite,11,,,L - V,,,,,,,,,,,,,
233,2/02/2022,BU18FA19,A,FF7b,trolleite,12,,,L - V,,,,,,,,,,,,,
234,2/02/2022,BU18FA04,B,FF5,trolleite,1,,,L - V - S,,,,,,,,,,,,,
235,2/02/2022,BU18FA20,E,FF1,trolleite,8,,,L - V,,,,,,,,,,,,,
236,2/02/2022,BU18FA04,B,FF6,bertossaite,1,,,L - V,,,,,,,,,,,,,
237,2/02/2022,BU18FA04,B,FF6,bertossaite,6,,,L - V,,,,,,,,,,,,,
238,2/02/2022,BU18FA04,B,FF6,bertossaite,9,,,L - V,,,,,,,,,,,,,
239,2/02/2022,BU18FA04,B,FF7,bertossaite,1,,,L - V,,,,,,,,,,,,,
240,2/02/2022,BU18FA04,B,FF7,bertossaite,2,,,L - V,,,,,,,,,,,,,
241,2/02/2022,BU18FA04,B,FF7,bertossaite,3,,,L - V,,,,,,,,,,,,,
242,2/02/2022,BU18FA04,B,FF7,bertossaite,5,,,V - L,,,,,,,,,,,,,
243,2/02/2022,BU18FA20,B,FF2,bertossaite,7,,,L - V,,,,,,,,,,,,,
244,2/02/2022,BU18FA20,B,FF4,bertossaite,6,,,L - V,,,,,,,,,,,,,
245,2/02/2022,BU18FA20,B,FF4,bertossaite,7,,,L - V,,,,,,,,,,,,,
246,2/02/2022,BU18FA20,B,FF4,bertossaite,9,,,L - V,,,,,,,,,,,,,
247,2/02/2022,BU18FA22,C,FF2,bertossaite,1,,,L - V,,,,,,,,,,,,,
248,2/02/2022,BU18FA22,C,FF2,bertossaite,2,,,L - V - S,,,,,,,,,,,,,
249,2/02/2022,BU18FA22,C,FF2,bertossaite,3,,,L - V,,,,,,,,,,,,,
250,2/02/2022,BU18FA32,A,FF1,brazilianite,11,,,L - V,,,,,,,,,,,,,
251,2/02/2022,BU18FA02a,B,FF3,brazilianite,1,,,L - V,,,,,,,,,,,,,
252,2/02/2022,BU18FA02a,B,FF3,brazilianite,2,,,L - V,,,,,,,,,,,,,
253,2/02/2022,BU18FA02a,B,FF3,brazilianite,3,,,L - V,,,,,,,,,,,,,
254,2/02/2022,BU18FA02a,B,FF3,brazilianite,4,,,L - V,,,,,,,,,,,,,
255,2/02/2022,BU18FA02a,B,FF3,brazilianite,5,,,L - V,,,,,,,,,,,,,
256,2/02/2022,BU18FA02a,B,FF3,brazilianite,6,,,L - V,,,,,,,,,,,,,
257,2/02/2022,BU18FA02a,B,FF4,brazilianite,1,,,L - V - S,,,,,,,,,,,,,
258,2/02/2022,BU18FA32,B,FF1,brazilianite,1,,,L - V,,,,,,,,,,,,,
259,2/02/2022,BU18FA32,B,FF1,brazilianite,2,,,L - V,,,,,,,,,,,,,
260,2/02/2022,BU18FA32,B,FF1,brazilianite,3,,,L - V,,,,,,,,,,,,,
261,2/02/2022,BU18FA32,B,FF1,brazilianite,4,,,L - V,,,,,,,,,,,,,
262,2/02/2022,BU18FA32,B,FF1,brazilianite,5,,,L - V,,,,,,,,,,,,,
263,2/02/2022,BU18FA32,B,FF1,brazilianite,6,,,L - V,,,,,,,,,,,,,
264,2/02/2022,BU18FA32,B,FF2,brazilianite,6,,,L - V,,,,,,,,,,,,,
265,2/02/2022,BU18FA32,B,FF2,brazilianite,7,,,L - V,,,,,,,,,,,,,
266,2/02/2022,BU18FA32,B,FF2,brazilianite,8,,,L - V,,,,,,,,,,,,,
267,2/02/2022,BU18FA32,B,FF2,brazilianite,9,,,L - V,,,,,,,,,,,,,
268,2/02/2022,BU18FA19(2),A,FF2,augelite,6,,,L - V,,,,,,,,,,,,,
269,2/02/2022,BU18FA19(2),A,FF2,augelite,7,,,L - V,,,,,,,,,,,,,
270,2/02/2022,BU18FA32,AII,incC,wyllieite,6,,,L - V - S,,,,,,,,,,,,,
271,2/02/2022,BU18FA32,AII,incC,wyllieite,7,,,L - V - S,,,,,,,,,,,,,
272,2/02/2022,BU18FA32,AII,incC,wyllieite,8,,,L - V - S,,,,,,,,,,,,,
273,2/02/2022,BU18FA19(2),A,FF1,augelite,10,,,L - V,,,,,,,,,,,,,
274,2/02/2022,BU18FA04,C,FF8,trolleite,1,,,L - V,,,,,,,,,,,,,
275,2/02/2022,BU18FA04,C,FF8,trolleite,3,,,L - V,,,,,,,,,,,,,
276,2/02/2022,BU18FA04,C,FF8,trolleite,4,,,L - V - S,,,,,,,,,,,,,
277,2/02/2022,BU18FA04,C,FF8,trolleite,5,,,L - V,,,,,,,,,,,,,
