#Acq. time (s)=	15
#Accumulations=	3
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#X (µm)=	14325.2
#Y (µm)=	4599.8
#Z (µm)=	1876.2
#Full time(s)=	47
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-E_trl1_FI05_s-mid
#Remark=	
#Date=	30.07.2019 18:50
#Acquired=	30.07.2019 18:50:04
103.656	1498.11
108.278	1450.51
112.899	1370.91
117.517	1334.61
122.131	1320.23
126.744	1549.16
131.355	2013.36
135.964	2450
140.571	2026
145.173	1401.66
149.776	1196.7
154.375	1207.1
158.973	1347.34
163.566	1659.8
168.159	1925.17
172.75	1814.1
177.339	1461
181.923	1501
186.507	1943
191.089	2389.29
195.668	2150.42
200.243	1790.69
204.818	1330.41
209.391	1120.25
213.96	985.842
218.528	909.269
223.094	895.911
227.655	912.397
232.217	985.531
236.776	1113.92
241.331	1286.75
245.886	1550.65
250.439	1757.19
254.987	1597
259.535	1388.53
264.081	1201.6
268.622	1266.15
273.164	1539.94
277.703	2060.85
282.238	2780.55
286.773	4134
291.305	5439.75
295.833	5452
300.362	3621.32
304.885	2749
309.409	2522.94
313.93	2175.31
318.448	1998.26
322.965	1952.58
327.477	1941.62
331.99	1936.94
336.5	1925.71
341.007	1828.91
345.513	1737.33
350.014	1679.86
354.516	1631.08
359.013	1585.79
363.51	1537.65
368.005	1488.09
