sample,piece,field,analysis,Host,Li,B,Na,Mg,Al,Si,P,K,Ti,Mn,Rb,Sr,Nb,Sn,Cs,Ba,Ta,W,Ca,Fe,NbTa,Nb/Ta,Li/Na,K/Na,K/Cs,K/Rb,Cs/Na,Rb/Na,Rb/Cs,Ta#,Mn#,Na%,Li%,K%,Rb%,Cs%,B%,P%,diva,diva%,Alkalis,Alkalis%,Info
BU18FA20,B,ff4,fi01,bertossaite,,407.0211500684532,73748.32921702722,,,,32478.17697289502,28906.57390537243,,1888.4917786463727,1330.9851740194795,,,,952.723258155811,,,,,635.3440438933633,,,,0.3919624242646354,30.340997407082266,21.718178736789874,0.012918574132739046,0.018047665461039055,1.39703230988175,,74.82625303043616,7.374832921702722,,2.890657390537243,0.13309851740194795,0.0952723258155811,0.04070211500684532,3.247817697289502,2523.835822539736,0.2523835822539736,104938.61155457493,10.493861155457493,
BU18FA20,B,ff4,fi02,bertossaite,6268.782610753122,409.2806825047005,58457.447453581,,,,40663.14934477698,18339.52229270202,,193.34592816229988,1107.80302637891,,,,1015.5186418068422,,,,,,,,0.10723668042007721,0.3137243087335414,18.05926699688326,16.554858450467183,0.01737192925868393,0.018950588413197095,1.0908741413233662,,100.0,5.8457447453581,0.6268782610753122,1.833952229270202,0.11078030263789101,0.10155186418068422,0.04092806825047005,4.066314934477698,193.34592816229988,0.019334592816229988,85189.0740252219,8.518907402522192,
BU18FA20,B,ff4,fi03,bertossaite,8689.632681364934,319.7321952617453,48341.835455765584,35.13515454830154,,,24024.302811392954,25384.75497878483,,1263.0137666903959,1003.0400374563958,,,,719.6100659698311,,,,8802.412144444297,2196.906743149425,,,0.17975388396901565,0.5251094572528745,35.27570858055376,25.307818263324666,0.014885865610715147,0.020748902643016345,1.3938660461962564,,36.50412670171049,4.8341835455765585,0.8689632681364934,2.538475497878483,0.10030400374563958,0.07196100659698311,0.03197321952617453,2.4024302811392952,12297.46780883242,1.229746780883242,84138.87321934156,8.413887321934157,
BU18FA20,J,ff1,fi01,trolleite,372.4943286004099,2452.3155962257383,32403.549770165093,1280.5207293244553,,,16461.07610967218,27398.405002810923,,1257.675011010317,1628.1758221818288,,1.0568785140306185,8.361103520239288,979.2269457107999,,8.363762144016418,13.47806444559097,,3862.6938986190466,9.420640658047036,0.12636400890318575,0.011495479083078004,0.8455371463047991,27.979627320123434,16.827669732925912,0.03021974298051762,0.0502468351069653,1.6627155015632977,88.78124585796783,24.562195287240606,3.2403549770165094,0.03724943286004099,2.739840500281092,0.16281758221818288,0.09792269457108,0.24523155962257384,1.646107610967218,6400.889638953819,0.6400889638953818,62781.85186946905,6.278185186946906,
BU18FA20,J,ff1,fi02,trolleite,150.46958889928624,1331.1787124333944,31016.385051884532,173.64766998449775,,,,30730.819993270434,49.003821202631435,202.26344583855442,1106.42240050432,,,,460.21650427294475,,,,,,,,0.004851293554925216,0.9907930902283937,66.77470214115709,27.774943800182438,0.014837851139102439,0.03567219063902789,2.404134554566353,,100.0,3.101638505188453,0.015046958889928623,3.0730819993270435,0.110642240050432,0.046021650427294475,0.13311787124333943,,375.91111582305217,0.037591111582305214,63464.31353883152,6.346431353883153,
BU18FA20,J,ff1,fi03,trolleite,273.1063613640318,1002.2218965880983,28764.866234089728,148.2461427097244,,,,31137.152872609167,93.7296264715606,147.22500505127448,1236.672058375318,,0.5899984082745898,,447.1073399112456,,,,,,0.5899984082745898,,0.009494442252624448,1.0824716728808563,69.64133686284403,25.178180958916226,0.015543522305046256,0.042992449480252305,2.765939961130603,,100.0,2.8764866234089728,0.02731063613640318,3.113715287260917,0.12366720583753181,0.04471073399112456,0.10022218965880983,,295.47114776099886,0.029547114776099885,61858.90486634949,6.185890486634949,
BU18FA19,A,ff7b,fi06,trolleite,,,37944.87072825938,,,,408365.1308233702,17098.577599736866,,378.4277936495147,1059.0280607437667,,,,148.63788749025872,,,,,,,,,0.45061630917621565,115.03512252794533,16.145537812971973,0.0039172063216323175,0.027909649984788516,7.124886384120416,,100.0,3.7944870728259383,,1.7098577599736866,0.10590280607437667,0.014863788749025872,,40.83651308233702,378.4277936495147,0.037842779364951465,56251.11427623027,5.625111427623027,
BU18FA19,A,ff7b,fi08,trolleite,600.5264309312015,,32202.232200473965,,,,61889.814953084315,25047.18625242871,,,798.8240395718925,,13.266942746807503,,235.15820576381714,,53.50878078182654,,,,66.77572352863405,0.2479395447431578,0.018648596382780033,0.7778090070433085,106.5120656584063,31.355073222198033,0.0073025436342377525,0.024806480327166112,3.3969643414195687,80.13208686369603,,3.2202232200473966,0.06005264309312015,2.504718625242871,0.07988240395718925,0.023515820576381713,,6.188981495308432,,,58883.92712916958,5.888392712916959,
BU18FA19,A,ff7b,fi012,trolleite,1189.4998896316426,,30226.172516382074,116.69519288173689,,,271369.5658070216,28334.042392601288,,,991.5660972662082,,,438.01473847249713,278.54375468507453,118.54230983107135,12.875800568112863,,,,12.875800568112863,,0.03935330842788493,0.9374009354722209,101.72205233837015,28.57504151333885,0.009215316776681155,0.03280488446655944,3.559821681829796,100.0,,3.0226172516382075,0.11894998896316426,2.833404239260129,0.09915660972662083,0.027854375468507452,,27.136956580702158,235.23750271280824,0.023523750271280824,61019.82465056629,6.101982465056629,
BU18FA19,A,ff7b,fi07,trolleite,1430.3982788696326,1998.3343181091993,24116.300152704374,,,,298463.47991614905,39233.55186235351,,9198.308479694617,1297.0693125022146,,10.079260291630975,196.9719989478158,285.33067794566523,,,,,2309.0668177583702,10.079260291630975,,0.05931250937384064,1.6268478835446034,137.50204550323414,30.247845264850888,0.011831444962077591,0.053783926402025756,4.54584597015962,,79.9340270211796,2.4116300152704375,0.14303982788696326,3.923355186235351,0.12970693125022145,0.028533067794566522,0.19983343181091992,29.846347991614905,11507.375297452987,1.1507375297452986,66362.65028437538,6.63626502843754,
