#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 20 points
#Y (µm)=	6.77912 ... 10.5653
#X (µm)=	3.39296 ... 7.39296
#Generated=	29.03.2022 09:38:49
1398.46	7.26409
1402.47	6.45572
1406.46	6.04151
1410.46	6.0402
1414.46	5.98489
1418.45	6.00538
1422.45	5.93423
1426.43	5.8257
1430.42	5.63996
1434.41	5.51857
1438.39	5.11009
1442.38	4.87212
1446.36	4.79463
1450.34	4.82994
1454.31	5.01163
1458.29	5.15619
1462.27	5.50816
1466.24	5.6677
1470.21	5.63059
1474.18	5.54618
1478.14	5.3747
1482.11	5.08266
1486.07	5.19291
1490.03	5.55599
1493.99	5.93192
1497.95	6.55469
1501.9	7.33726
1505.86	7.8461
1509.81	8.0626
1513.76	8.21409
1517.71	7.77623
1521.65	7.44857
1525.6	6.8253
1529.54	6.24377
1533.48	6.1444
1537.42	6.15747
1541.36	6.17383
1545.29	5.963
1549.23	5.26901
1553.16	4.83928
1557.09	4.75768
1561.02	4.69538
1564.94	4.75539
1568.87	5.20028
1572.79	5.92868
1576.71	6.54361
1580.63	6.58426
1584.55	6.27437
1588.47	5.83842
1592.38	4.78202
1596.29	4.36682
1600.2	4.28274
1604.11	4.25628
1608.02	4.69387
1611.92	4.95306
1615.83	4.88104
1619.73	4.59944
1623.63	4.38757
1627.53	4.13432
1631.42	3.95719
1635.32	4.36705
1639.21	4.77402
1643.1	5.01915
1646.99	5.35722
1650.88	5.35489
1654.76	5.0557
1658.64	5.15104
1662.53	5.04754
1666.41	5.24346
1670.28	5.30267
1674.16	5.59593
1678.04	6.00865
1681.91	6.60823
1685.78	6.87142
1689.65	7.26828
1693.52	7.27618
1697.38	6.50601
1701.25	5.59774
1705.11	5.56318
1708.97	5.89608
1712.83	6.70262
1716.69	7.5296
1720.54	8.34473
1724.4	8.74506
1728.25	8.58999
1732.1	8.16167
1735.95	7.8144
1739.79	7.83845
1743.64	7.9041
1747.48	8.08532
1751.33	8.10029
1755.17	7.81021
1759	8.16129
1762.84	8.07402
1766.68	7.71915
1770.51	7.53922
1774.34	7.16861
1778.17	7.25137
1782	7.40602
1785.82	7.18927
1789.65	7.09148
1793.47	6.94657
1797.29	6.83875
1801.11	6.41657
1804.93	5.73054
1808.74	4.53261
1812.56	3.35543
1816.37	2.50442
1820.18	2.11393
1823.99	2.2383
1827.79	2.92637
1831.6	3.28312
1835.4	3.50427
1839.2	3.84683
1843	4.04761
1846.8	4.06655
1850.6	4.0817
1854.39	3.96732
1858.19	3.35466
1861.98	2.86544
1865.77	2.11041
1869.56	2.29736
1873.34	2.77247
1877.13	3.52244
1880.91	4.40444
1884.69	4.69179
1888.47	4.80459
1892.25	5.13008
1896.03	5.29596
1899.8	5.36731
1903.57	5.41138
1907.34	5.47348
1911.11	5.54954
1914.88	5.47095
1918.65	5.43123
1922.41	5.6447
1926.18	5.89371
1929.94	5.88785
1933.7	5.92941
1937.45	5.74977
1941.21	5.52007
1944.96	5.30682
1948.72	4.78443
1952.47	4.12623
1956.22	4.02133
1959.96	4.05214
1963.71	4.45627
1967.45	4.9793
1971.2	5.43601
1974.94	5.92174
1978.68	6.24761
1982.42	6.57789
1986.15	6.85271
1989.89	6.93175
1993.62	6.95455
1997.35	6.82598
2001.08	6.83667
2004.8	6.94698
2008.53	6.35793
2012.25	5.61077
2015.98	5.19032
2019.7	4.81584
2023.42	4.80088
2027.13	5.25559
2030.85	6.1117
2034.56	7.24011
2038.28	7.91522
2041.99	8.06704
2045.7	8.13538
2049.41	7.74275
2053.11	7.31098
2056.82	7.02703
2060.52	6.99109
2064.22	6.84245
2067.92	6.97465
2071.62	7.14092
2075.31	7.22306
2079.01	7.0417
2082.7	6.71535
2086.39	6.53323
2090.08	6.62105
2093.77	6.84461
2097.45	7.16747
2101.14	7.45981
2104.82	7.50779
2108.5	7.86289
2112.18	8.66765
2115.86	9.65673
2119.54	10.2297
2123.21	10.6673
2126.88	11.0939
2130.56	11.0361
2134.23	10.6858
2137.89	10.2045
2141.56	10.1835
2145.23	10.2512
2148.89	10.6887
2152.55	11.0343
2156.21	11.0359
2159.87	11.3268
2163.53	12.081
2167.18	12.408
2170.84	12.4724
2174.49	12.8943
2178.14	13.1872
2181.79	13.2958
2185.44	14.0545
2189.08	14.3927
2192.73	14.9041
2196.37	15.3661
2200.01	15.3731
2203.65	15.0295
2207.29	14.7088
2210.92	14.9553
2214.56	15.8658
2218.19	16.8294
2221.82	18.2673
2225.45	19.5694
2229.08	20.5092
2232.7	20.4329
2236.33	19.3444
2239.95	18.3517
2243.57	17.0779
2247.19	15.4275
2250.81	13.9266
2254.43	12.641
2258.04	12.0683
2261.66	12.4674
2265.27	13.0491
2268.88	13.3919
2272.49	13.6475
2276.1	13.4824
2279.7	13.0247
2283.31	12.8546
2286.91	12.1597
2290.51	11.5653
2294.11	11.6614
2297.71	11.7412
2301.3	12.0449
2304.9	12.4149
2308.49	12.2688
2312.08	11.6904
2315.67	11.4429
2319.26	10.8151
2322.85	10.274
2326.43	9.38935
2330.02	8.62889
2333.6	8.44454
2337.18	8.57137
2340.76	8.91833
2344.34	9.75742
2347.91	10.5723
2351.49	11.19
2355.06	11.7126
2358.63	11.9484
2362.2	11.3882
2365.77	10.5064
2369.33	9.24597
2372.9	8.03542
2376.46	7.63527
2380.02	8.38981
2383.58	9.23846
2387.14	9.7897
2390.7	9.82027
2394.25	9.56286
2397.81	9.29072
2401.36	8.9113
2404.91	8.07328
2408.46	7.50941
2412.01	7.34828
2415.56	6.91466
2419.1	6.74392
2422.64	6.86738
2426.18	6.87017
2429.72	6.55689
2433.26	6.34571
2436.8	6.02993
2440.34	5.99447
2443.87	6.30783
2447.4	6.60406
2450.93	6.66414
2454.46	6.47358
2457.99	6.20222
2461.52	5.24425
2465.04	4.63455
2468.56	4.3042
2472.09	4.42209
2475.61	4.86498
2479.13	5.45842
2482.64	5.58252
2486.16	5.53461
2489.67	5.52006
2493.18	5.58451
2496.69	5.37246
2500.2	5.25024
2503.71	4.97087
2507.22	4.92879
2510.72	4.93527
