#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 9 points
#Y (µm)=	-10.8896 ... -8.3655
#X (µm)=	-8.60704 ... -6.60704
#Generated=	29.03.2022 09:29:50
1374.42	68.3146
1378.43	130.525
1382.44	536.693
1386.45	746.993
1390.46	395.728
1394.46	110.912
1398.46	75.0261
1402.47	73.8306
1406.46	75.4937
1410.46	60.3331
1414.46	44.5668
1418.45	31.9454
1422.45	22.5829
1426.43	15.9558
1430.42	12.5127
1434.41	9.99352
1438.39	8.88003
1442.38	8.48996
1446.36	8.72539
1450.34	8.35236
1454.31	7.44029
1458.29	5.89654
1462.27	4.09593
1466.24	2.7781
1470.21	2.67068
1474.18	2.96215
1478.14	3.22124
1482.11	3.91691
1486.07	4.57075
1490.03	5.41665
1493.99	5.48478
1497.95	4.63516
1501.9	4.21114
1505.86	3.73869
1509.81	3.71939
1513.76	4.08407
1517.71	4.63436
1521.65	5.0241
1525.6	6.25897
1529.54	7.06355
1533.48	7.17423
1537.42	7.07275
1541.36	6.96711
1545.29	6.79545
1549.23	7.03208
1553.16	6.79925
1557.09	6.17996
1561.02	5.71517
1564.94	5.72119
1568.87	5.42988
1572.79	5.17259
1576.71	5.46427
1580.63	6.28766
1584.55	7.40046
1588.47	8.31822
1592.38	7.93392
1596.29	7.45436
1600.2	6.24939
1604.11	5.15217
1608.02	4.21548
1611.92	3.80681
1615.83	3.47084
1619.73	4.88513
1623.63	6.48519
1627.53	7.71484
1631.42	8.76511
1635.32	8.00371
1639.21	7.4496
1643.1	7.11982
1646.99	5.61124
1650.88	4.57367
1654.76	3.6576
1658.64	2.7489
1662.53	1.71394
1666.41	0.970432
1670.28	0.544823
1674.16	0.858812
1678.04	1.06044
1681.91	1.82149
1685.78	2.93402
1689.65	4.3183
1693.52	5.5776
1697.38	6.71278
1701.25	7.33537
1705.11	7.3946
1708.97	6.63531
1712.83	5.65377
1716.69	4.69292
1720.54	4.13696
1724.4	4.60797
1728.25	5.54208
1732.1	6.8735
1735.95	8.31273
1739.79	9.70881
1743.64	10.0374
1747.48	10.2134
1751.33	10.4616
1755.17	9.33256
1759	8.11526
1762.84	6.30132
1766.68	5.21842
1770.51	4.49583
1774.34	4.47615
1778.17	4.57152
1782	5.23699
1785.82	5.81374
1789.65	5.82518
1793.47	5.59608
1797.29	5.31866
1801.11	5.70626
1804.93	6.25863
1808.74	7.04901
1812.56	7.94321
1816.37	8.45999
1820.18	8.75411
1823.99	8.52331
1827.79	7.85137
1831.6	6.80458
1835.4	5.54494
1839.2	4.58219
1843	4.10458
1846.8	4.10729
1850.6	4.89226
1854.39	5.93368
1858.19	7.11287
1861.98	8.38257
1865.77	9.4844
1869.56	10.0377
1873.34	10.054
1877.13	9.38914
1880.91	8.25642
1884.69	7.60031
1888.47	6.48126
1892.25	5.32774
1896.03	4.31719
1899.8	4.51349
1903.57	5.23587
1907.34	6.46092
1911.11	7.5302
1914.88	7.79307
1918.65	7.93696
1922.41	8.32414
1926.18	8.07148
1929.94	7.95358
1933.7	8.64683
1937.45	9.39846
1941.21	11.5512
1944.96	12.1337
1948.72	9.62178
1952.47	6.99051
1956.22	5.78912
1959.96	5.73344
1963.71	7.51296
1967.45	8.15669
1971.2	8.28568
1974.94	8.0908
1978.68	8.13116
1982.42	7.88203
1986.15	7.2607
1989.89	6.73013
1993.62	6.28025
