#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 9 points
#Y (µm)=	-0.793193 ... 1.73091
#X (µm)=	-11.607 ... -9.60704
#Generated=	29.03.2022 09:29:34
1350.3	48.7794
1354.33	53.9972
1358.35	63.7587
1362.37	77.331
1366.39	106.651
1370.4	130.263
1374.42	146.437
1378.43	399.485
1382.44	1342.23
1386.45	1766.72
1390.46	1072.1
1394.46	277.603
1398.46	178.081
1402.47	174.216
1406.46	179.728
1410.46	147.318
1414.46	97.5798
1418.45	72.0007
1422.45	55.4116
1426.43	42.697
1430.42	35.0603
1434.41	29.0906
1438.39	25.1349
1442.38	22.2975
1446.36	19.6961
1450.34	17.4809
1454.31	15.0934
1458.29	13.9005
1462.27	13.0932
1466.24	11.9579
1470.21	11.0085
1474.18	10.3119
1478.14	9.26682
1482.11	8.4114
1486.07	8.07525
1490.03	8.35043
1493.99	8.67068
1497.95	9.51524
1501.9	10.3077
1505.86	10.4759
1509.81	10.2713
1513.76	9.92414
1517.71	9.1155
1521.65	8.31099
1525.6	8.22291
1529.54	7.61855
1533.48	7.1332
1537.42	7.03211
1541.36	7.54917
1545.29	8.13887
1549.23	8.44204
1553.16	8.13078
1557.09	7.93074
1561.02	7.20412
1564.94	5.93489
1568.87	5.10604
1572.79	4.64363
1576.71	5.36709
1580.63	6.32292
1584.55	7.41487
1588.47	8.50828
1592.38	8.70069
1596.29	9.2264
1600.2	8.54476
1604.11	7.62473
1608.02	7.62055
1611.92	7.9192
1615.83	7.95728
1619.73	7.8276
1623.63	7.17225
1627.53	6.30959
1631.42	5.61605
1635.32	5.53588
1639.21	6.03919
1643.1	6.90167
1646.99	8.56326
1650.88	9.09495
1654.76	8.74409
1658.64	8.21565
1662.53	8.31967
1666.41	9.21496
1670.28	9.46777
1674.16	9.78203
1678.04	9.06145
1681.91	8.09334
1685.78	8.0405
1689.65	7.98576
1693.52	8.22324
1697.38	8.59051
1701.25	8.67743
1705.11	8.4839
1708.97	8.27259
1712.83	7.62582
1716.69	6.99861
1720.54	6.44919
1724.4	5.55399
1728.25	4.563
1732.1	3.54401
1735.95	2.74162
1739.79	2.479
1743.64	3.20525
1747.48	4.35912
1751.33	5.70042
1755.17	7.22358
1759	8.70732
1762.84	9.48358
1766.68	10.5637
1770.51	10.9118
1774.34	10.4649
1778.17	9.60633
1782	8.49786
1785.82	7.67631
1789.65	7.27701
1793.47	7.08937
1797.29	7.0171
1801.11	7.27789
1804.93	7.73311
1808.74	8.31983
1812.56	9.01101
1816.37	9.37862
1820.18	8.95842
1823.99	8.09086
1827.79	6.79162
1831.6	5.69825
1835.4	5.43017
1839.2	5.62693
1843	6.82469
1846.8	8.69607
1850.6	10.306
1854.39	10.861
1858.19	10.9005
1861.98	9.40803
1865.77	8.33989
1869.56	7.69079
1873.34	6.93954
1877.13	7.24755
1880.91	8.00611
1884.69	8.78496
1888.47	9.63752
1892.25	10.2258
1896.03	10.2494
1899.8	9.97413
1903.57	9.28258
1907.34	8.42295
1911.11	7.7502
1914.88	7.49797
1918.65	7.58942
1922.41	6.92914
1926.18	6.99028
1929.94	6.99977
1933.7	6.59291
1937.45	6.63142
1941.21	6.72923
1944.96	6.81792
1948.72	6.75967
1952.47	5.90641
1956.22	5.73406
1959.96	5.58577
1963.71	5.89839
1967.45	7.2927
1971.2	8.81269
1974.94	9.15936
1978.68	9.40475
1982.42	9.65299
1986.15	9.31791
1989.89	9.18677
1993.62	9.11315
1997.35	8.66252
2001.08	8.3099
2004.8	8.10521
2008.53	8.52919
2012.25	8.88337
2015.98	9.0068
2019.7	8.60897
2023.42	8.68602
2027.13	9.22867
2030.85	9.77769
2034.56	10.2111
2038.28	10.681
2041.99	10.4824
2045.7	9.77436
2049.41	9.64598
2053.11	9.00381
2056.82	8.804
2060.52	8.96989
2064.22	8.85677
2067.92	8.87117
2071.62	8.51741
2075.31	7.86041
2079.01	7.23716
2082.7	7.14538
2086.39	7.30063
2090.08	8.07196
2093.77	8.53348
2097.45	8.08738
2101.14	7.84799
2104.82	7.37542
2108.5	6.67696
2112.18	6.01322
2115.86	5.73439
2119.54	6.18143
2123.21	6.90187
2126.88	8.20628
2130.56	9.49417
2134.23	9.77634
2137.89	9.50562
2141.56	8.86843
2145.23	7.42401
2148.89	6.37178
2152.55	5.88871
2156.21	5.69193
2159.87	6.47538
2163.53	7.47093
2167.18	8.26754
2170.84	8.63194
2174.49	9.00657
2178.14	9.30737
2181.79	9.50522
2185.44	9.52671
2189.08	9.28787
2192.73	9.61518
2196.37	9.7769
2200.01	9.56296
2203.65	8.82243
2207.29	8.2529
2210.92	8.21541
2214.56	8.60732
2218.19	9.12756
2221.82	9.29123
2225.45	9.31891
2229.08	9.42323
2232.7	9.78295
2236.33	10.2781
2239.95	10.7786
2243.57	10.9178
2247.19	11.1489
2250.81	11.1841
2254.43	11.4593
2258.04	11.8479
2261.66	12.1952
2265.27	12.5121
2268.88	13.4934
2272.49	13.7294
2276.1	13.2164
2279.7	11.8065
2283.31	10.2601
2286.91	9.30557
2290.51	8.71724
2294.11	8.37423
2297.71	7.74994
2301.3	7.52931
2304.9	8.14088
2308.49	9.74256
2312.08	13.8148
2315.67	19.6362
2319.26	25.6595
2322.85	36.6716
2326.43	40.7329
2330.02	33.9252
2333.6	24.7432
2337.18	16.7742
2340.76	11.235
