#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 9 points
#Y (µm)=	-5.8414 ... -3.3173
#X (µm)=	4.39296 ... 6.39296
#Generated=	29.03.2022 09:29:06
1390.46	16.3534
1394.46	12.1243
1398.46	7.53496
1402.47	6.05658
1406.46	5.60714
1410.46	5.82594
1414.46	7.35868
1418.45	8.64588
1422.45	9.59572
1426.43	10.8963
1430.42	11.5911
1434.41	10.9522
1438.39	9.75782
1442.38	7.17119
1446.36	4.32078
1450.34	1.9132
1454.31	0.62625
1458.29	-0.378991
1462.27	0.735579
1466.24	2.46494
1470.21	4.07491
1474.18	5.86838
1478.14	7.1196
1482.11	6.49055
1486.07	6.0535
1490.03	4.9226
1493.99	4.00138
1497.95	3.36695
1501.9	3.7763
1505.86	3.42262
1509.81	3.36138
1513.76	3.65802
1517.71	3.95073
1521.65	5.32378
1525.6	5.85029
1529.54	5.99996
1533.48	6.1546
1537.42	6.14933
1541.36	6.09594
1545.29	6.05409
1549.23	6.34254
1553.16	6.61379
1557.09	7.90049
1561.02	10.1833
1564.94	12.3417
1568.87	15.1834
1572.79	16.9591
1576.71	17.028
1580.63	17.08
1584.55	16.2856
1588.47	15.8579
1592.38	15.6613
1596.29	14.7701
1600.2	13.4997
1604.11	13.0089
1608.02	12.9224
1611.92	12.5233
1615.83	12.1024
1619.73	11.4369
1623.63	10.5138
1627.53	10.6054
1631.42	10.8637
1635.32	10.5019
1639.21	10.4543
1643.1	9.81611
1646.99	8.94272
1650.88	8.32854
1654.76	7.71111
