sample,piece,field,analysis,Host,Li,B,Na,Mg,Al,Si,P,K,Ti,Mn,Rb,Sr,Nb,Sn,Cs,Ba,Ta,W,Ca,Fe,NbTa,Nb/Ta,Li/Na,K/Na,K/Cs,K/Rb,Cs/Na,Rb/Na,Rb/Cs,Ta#,Mn#,Na%,Li%,K%,Rb%,Cs%,B%,P%,Alkalis,Alkalis%,Time,Info
BU18FA20,J,ff1,M1,trolleite,54.67128288125426,,,77.52551906393276,237993.44841114167,,198291.81922529527,,88.76440287358129,,,,0.2846117196815381,37.71459392104957,,,5.709236126180041,,,5304.972198405403,5.99384784586158,0.049851103263435566,,,,,,,,95.2516025264464,,,0.005467128288125425,,,,,19.82918192252953,54.67128288125426,0.005467128288125425,14:04:00,matrix-Trl
BU18FA20,J,ff1,M2,trolleite,45.960265454130216,,,48.43001920741582,237993.44841114167,,195721.1287357763,,60.52112145344193,,,,,,,,,,,3983.9282801083173,,,,,,,,,,,,,0.004596026545413022,,,,,19.57211287357763,45.960265454130216,0.004596026545413022,14:08:00,matrix-Trl
BU18FA20,B,ff4,M3,bertossaite,20798.36958952455,,6101.376021480487,611.3914280104776,170887.44605727738,,156144.785666445,36.10297490066174,144.54777477701307,6473.654432085591,,,,,,,0.6104666892319353,,107267.85214434518,18885.80992331417,0.6104666892319353,,3.408799837332082,0.0059171856927941685,,,,,,100.0,25.527567701591312,0.6101376021480487,2.079836958952455,0.0036102974900661744,,,,15.6144785666445,26935.8485859057,2.6935848585905697,14:30:00,matrix-Bts
BU18FA20,B,ff4,M4,bertossaite,21007.229242339432,,5738.962456350232,708.7422967613072,170887.44605727738,,156026.05994591833,,152.59720105948222,6253.36913965988,,,,,,,0.701679396127614,,108008.3949192344,18766.69543778613,0.701679396127614,,3.6604576876251693,,,,,,,100.0,24.99341726438585,0.5738962456350232,2.1007229242339434,,,,,15.602605994591833,26746.191698689665,2.6746191698689668,14:33:00,matrix-Bts
BU18FA19,A,ff7b,M2,trolleite,71.28350290677467,,,73.0967788004009,237993.44841114167,,154106.09701727686,,355.9573092509303,7.8110620101375945,,,2.9443329792033595,79.80688975911836,,,17.812030171556096,,,4641.017693294163,20.756363150759455,0.1653002465662305,,,,,,,,85.8147934789066,0.16802214969147217,,0.007128350290677467,,,,,15.410609701727687,71.28350290677467,0.007128350290677467,09:52:00,trl-matrix
BU18FA19,A,ff7b,M,trolleite,119.72284772859852,,,89.67092165505059,237993.44841114167,,157104.61848759244,,392.3856561499033,8.853939599692886,,,3.6748892441418755,93.97202298624289,,,22.49558460252549,,,5040.614775560717,26.170473846667367,0.16336046869078966,,,,,,,,85.95788037437522,0.17534398367713455,,0.011972284772859852,,,,,15.710461848759243,119.72284772859852,0.011972284772859852,09:46:00,trl-matrix
BU18FA04,A,ff3,M,bertossaite,22177.418660951967,,6365.787061696302,620.8709021891989,170940.3687720675,2649.6454809571374,173526.79000412356,,214.08171128418536,5504.505727466429,,496.283299738548,0.1563021625470589,4.998766916033262,,87.20273992308468,3.9071254350548994,,116354.47391944597,11264.8862695145,4.063427597601958,0.04000438817364528,3.4838455081848614,,,,,,,96.15344044423726,32.82471856139704,0.6365787061696302,2.2177418660951966,,,,,17.352679000412355,28543.20572264827,2.854320572264827,15:12:00,bts-matrix
BU18FA04,B,ff5,4,trolleite,165.90062935752175,,,319.4678122577018,237993.44841114167,,196940.0769600663,,261.11314167699254,12.259361574766906,,,2.598382825557621,133.61861159604751,,21.921323945061175,25.367838753340905,,,2602.7450978847874,27.966221578898526,0.10242823012328624,,,,,,,,90.70885275571803,0.46880843856383175,,0.016590062935752176,,,,,19.69400769600663,165.90062935752175,0.016590062935752176,14:09:00,trl-matrix
BU18FA19,B,ff1,M,trolleite,67.09212138293206,,,44.85929634406116,237993.44841114167,2257.879036980428,150284.8611221107,,283.9140271457254,,,,1.0891736860231638,80.73448012942549,,,38.806082013424955,,,3534.7352752090173,39.89525569944812,0.028067087155213565,,,,,,,,97.26991676847874,,,0.006709212138293207,,,,,15.028486112211072,67.09212138293206,0.006709212138293207,13:03:00,trl-matrix
BU18FA04,B,ff6,3,bertossaite,19414.674343289393,,6589.905777668681,526.4867770126823,170903.32287171442,3754.45216678911,130681.8067575213,37.90467357630232,164.0091764445814,6534.08923758366,,359.9243169167868,0.5932787598551155,3.787403635006607,,87.34982734363155,6.739883399215307,,108489.70900850532,12481.928002700395,7.333162159070422,0.08802507769261826,2.9461232069630205,0.005751929519956187,,,,,,91.90964624829296,34.360976617867514,0.6589905777668681,1.9414674343289393,0.0037904673576302323,,,,13.068180675752131,26042.48479453438,2.604248479453438,16:16:00,Bst-matrix-2shots-10hz
BU18FA04,B,ff6,7,bertossaite,19094.35805243374,,13450.339166478894,286.651910089497,170903.32287171442,,128797.94915342807,67.74864637515459,615.1895409836443,13167.411479307955,,1081.876582084482,,,,527.9266049697517,,,94338.77690473225,20397.83132078345,,,1.4196190754818245,0.005036947064056096,,,,,,,39.22930502165799,1.3450339166478895,1.9094358052433742,0.006774864637515459,,,,12.879794915342806,32612.44586528779,3.261244586528779,16:22:00,Bst-matrix-2shots
